t [s],a_x [m/s^2]
0,-0.0024609
0.002,-0.0024679
0.004,-0.0024769
0.006,-0.0024902
0.008,-0.002511
0.01,-0.0025426
0.012,-0.0025879
0.014,-0.0026481
0.016,-0.0027238
0.018,-0.0028162
0.02,-0.0029295
0.022,-0.0030707
0.024,-0.0032454
0.026,-0.0034477
0.028,-0.00365
0.03,-0.0038023
0.032,-0.0038474
0.034,-0.0037482
0.036,-0.0034991
0.038,-0.0031106
0.04,-0.0025922
0.042,-0.0019601
0.044,-0.0012642
0.046,-0.00060096
0.048,-8.92E-05
0.05,0.00017455
0.052,0.00014336
0.054,-0.00018144
0.056,-0.00076514
0.058,-0.0015608
0.06,-0.0025322
0.062,-0.0036576
0.064,-0.0049004
0.066,-0.0061799
0.068,-0.007391
0.07,-0.0084669
0.072,-0.0094101
0.074,-0.010261
0.076,-0.011053
0.078,-0.011778
0.08,-0.012408
0.082,-0.012929
0.084,-0.013381
0.086,-0.013848
0.088,-0.014428
0.09,-0.015193
0.092,-0.016156
0.094,-0.017254
0.096,-0.018373
0.098,-0.019373
0.1,-0.020098
0.102,-0.020377
0.104,-0.020047
0.106,-0.019005
0.108,-0.017208
0.11,-0.014617
0.112,-0.011177
0.114,-0.0069366
0.116,-0.0021982
0.118,0.002521
0.12,0.0067211
0.122,0.010112
0.124,0.012643
0.126,0.014411
0.128,0.015538
0.13,0.016091
0.132,0.016069
0.134,0.015442
0.136,0.014225
0.138,0.012534
0.14,0.010576
0.142,0.0085844
0.144,0.0067404
0.146,0.005094
0.148,0.0035027
0.15,0.001649
0.152,-0.00089094
0.154,-0.0045012
0.156,-0.0093626
0.158,-0.01538
0.16,-0.022126
0.162,-0.028842
0.164,-0.034634
0.166,-0.03887
0.168,-0.041425
0.17,-0.042498
0.172,-0.04216
0.174,-0.040042
0.176,-0.035301
0.178,-0.026941
0.18,-0.014606
0.182,0.00061049
0.184,0.016218
0.186,0.029322
0.188,0.037884
0.19,0.041393
0.192,0.040654
0.194,0.037189
0.196,0.032677
0.198,0.02862
0.2,0.02617
0.202,0.025941
0.204,0.027879
0.206,0.031266
0.208,0.034888
0.21,0.037324
0.212,0.037228
0.214,0.033617
0.216,0.026302
0.218,0.016292
0.22,0.0057385
0.222,-0.002795
0.224,-0.0073573
0.226,-0.0072275
0.228,-0.0027699
0.23,0.0050576
0.232,0.014964
0.234,0.025222
0.236,0.033499
0.238,0.037253
0.24,0.034815
0.242,0.026273
0.244,0.013424
0.246,-0.0010271
0.248,-0.014304
0.25,-0.024133
0.252,-0.02927
0.254,-0.029548
0.256,-0.025414
0.258,-0.0176
0.26,-0.0069885
0.262,0.0058298
0.264,0.02125
0.266,0.040739
0.268,0.06571
0.27,0.095772
0.272,0.12816
0.274,0.15884
0.276,0.1842
0.278,0.2025
0.28,0.21372
0.282,0.21804
0.284,0.21452
0.286,0.2018
0.288,0.17996
0.29,0.15154
0.292,0.12022
0.294,0.088619
0.296,0.057195
0.298,0.024834
0.3,-0.0095424
0.302,-0.045377
0.304,-0.079802
0.306,-0.10859
0.308,-0.1285
0.31,-0.13924
0.312,-0.14279
0.314,-0.14077
0.316,-0.13236
0.318,-0.11484
0.32,-0.086591
0.322,-0.049591
0.324,-0.008942
0.326,0.029656
0.328,0.061988
0.33,0.086119
0.332,0.10224
0.334,0.11199
0.336,0.11711
0.338,0.11829
0.34,0.11481
0.342,0.1048
0.344,0.086173
0.346,0.058544
0.348,0.025072
0.35,-0.0081154
0.352,-0.035178
0.354,-0.053488
0.356,-0.063655
0.358,-0.06763
0.36,-0.067219
0.362,-0.063739
0.364,-0.058421
0.366,-0.052792
0.368,-0.048636
0.37,-0.047693
0.372,-0.05134
0.374,-0.060231
0.376,-0.073964
0.378,-0.091062
0.38,-0.10915
0.382,-0.12533
0.384,-0.13696
0.386,-0.14189
0.388,-0.13804
0.39,-0.12368
0.392,-0.098886
0.394,-0.06711
0.396,-0.034532
0.398,-0.0072545
0.4,0.011484
0.402,0.02204
0.404,0.027055
0.406,0.029306
0.408,0.030228
0.41,0.029786
0.412,0.027194
0.414,0.021494
0.416,0.011544
0.418,-0.0036683
0.42,-0.023967
0.422,-0.047298
0.424,-0.070326
0.426,-0.089962
0.428,-0.10446
0.43,-0.1133
0.432,-0.11609
0.434,-0.11181
0.436,-0.098992
0.438,-0.076815
0.44,-0.046058
0.442,-0.0093142
0.444,0.02966
0.446,0.067313
0.448,0.10111
0.45,0.12946
0.452,0.15133
0.454,0.16541
0.456,0.16906
0.458,0.15843
0.46,0.13165
0.462,0.092826
0.464,0.052078
0.466,0.019709
0.468,0.0001556
0.47,-0.0082667
0.472,-0.0092322
0.474,-0.0050604
0.476,0.0034864
0.478,0.015583
0.48,0.029114
0.482,0.040441
0.484,0.044487
0.486,0.03534
0.488,0.0087388
0.49,-0.033972
0.492,-0.083724
0.494,-0.12699
0.496,-0.15402
0.498,-0.16453
0.5,-0.16546
0.502,-0.16519
0.504,-0.17023
0.506,-0.18493
0.508,-0.2109
0.51,-0.24547
0.512,-0.28162
0.514,-0.31167
0.516,-0.33189
0.518,-0.34359
0.52,-0.34985
0.522,-0.35041
0.524,-0.33884
0.526,-0.30478
0.528,-0.24129
0.53,-0.15149
0.532,-0.048081
0.534,0.052287
0.536,0.13491
0.538,0.19032
0.54,0.21439
0.542,0.20542
0.544,0.16186
0.546,0.085011
0.548,-0.01536
0.55,-0.11854
0.552,-0.19618
0.554,-0.22107
0.556,-0.17819
0.558,-0.071453
0.56,0.079282
0.562,0.25084
0.564,0.42725
0.566,0.59885
0.568,0.75417
0.57,0.87536
0.572,0.94278
0.574,0.94293
0.576,0.87275
0.578,0.74178
0.58,0.57065
0.582,0.38098
0.584,0.18525
0.586,-0.012697
0.588,-0.2073
0.59,-0.38246
0.592,-0.51416
0.594,-0.5836
0.596,-0.58712
0.598,-0.53358
0.6,-0.43753
0.602,-0.31534
0.604,-0.1823
0.606,-0.051151
0.608,0.067106
0.61,0.16288
0.612,0.23045
0.614,0.27004
0.616,0.28612
0.618,0.28483
0.62,0.27318
0.622,0.25854
0.624,0.2475
0.626,0.24441
0.628,0.25076
0.63,0.26527
0.632,0.28449
0.634,0.30325
0.636,0.31492
0.638,0.31255
0.64,0.29077
0.642,0.24767
0.644,0.1853
0.646,0.10837
0.648,0.022154
0.65,-0.068677
0.652,-0.15892
0.654,-0.24087
0.656,-0.30515
0.658,-0.34559
0.66,-0.36324
0.662,-0.36468
0.664,-0.35685
0.666,-0.344
0.668,-0.3288
0.67,-0.31439
0.672,-0.30442
0.674,-0.30162
0.676,-0.30685
0.678,-0.3191
0.68,-0.3361
0.682,-0.35541
0.684,-0.37523
0.686,-0.39423
0.688,-0.41091
0.69,-0.42364
0.692,-0.43151
0.694,-0.4348
0.696,-0.43399
0.698,-0.42771
0.7,-0.41148
0.702,-0.37842
0.704,-0.32284
0.706,-0.24512
0.708,-0.15231
0.71,-0.053601
0.712,0.044572
0.714,0.14015
0.716,0.23426
0.718,0.32901
0.72,0.42562
0.722,0.52304
0.724,0.61743
0.726,0.70267
0.728,0.77252
0.73,0.82292
0.732,0.85219
0.734,0.85959
0.736,0.84397
0.738,0.8046
0.74,0.74394
0.742,0.66889
0.744,0.5878
0.746,0.50632
0.748,0.42593
0.75,0.34577
0.752,0.26542
0.754,0.1867
0.756,0.11328
0.758,0.047918
0.76,-0.010666
0.762,-0.067771
0.764,-0.12884
0.766,-0.19575
0.768,-0.26569
0.77,-0.33247
0.772,-0.38902
0.774,-0.43027
0.776,-0.45554
0.778,-0.46835
0.78,-0.47378
0.782,-0.47528
0.784,-0.47234
0.786,-0.4597
0.788,-0.42917
0.79,-0.3738
0.792,-0.29258
0.794,-0.19174
0.796,-0.081234
0.798,0.02979
0.8,0.13415
0.802,0.22549
0.804,0.29816
0.806,0.3487
0.808,0.37678
0.81,0.38477
0.812,0.37614
0.814,0.35448
0.816,0.32403
0.818,0.2902
0.82,0.25869
0.822,0.23378
0.824,0.21755
0.826,0.2105
0.828,0.21286
0.83,0.22557
0.832,0.24979
0.834,0.28474
0.836,0.32598
0.838,0.36609
0.84,0.39735
0.842,0.41398
0.844,0.41187
0.846,0.3881
0.848,0.34295
0.85,0.28139
0.852,0.2109
0.854,0.13764
0.856,0.064263
0.858,-0.0090203
0.86,-0.081541
0.862,-0.15004
0.864,-0.20935
0.866,-0.25557
0.868,-0.28836
0.87,-0.30997
0.872,-0.32243
0.874,-0.32557
0.876,-0.31707
0.878,-0.29459
0.88,-0.25899
0.882,-0.21604
0.884,-0.17442
0.886,-0.14194
0.888,-0.12348
0.89,-0.12065
0.892,-0.13192
0.894,-0.15271
0.896,-0.17648
0.898,-0.19699
0.9,-0.2103
0.902,-0.21508
0.904,-0.21119
0.906,-0.1976
0.908,-0.17145
0.91,-0.12954
0.912,-0.071931
0.914,-0.0048532
0.916,0.060427
0.918,0.11272
0.92,0.14564
0.922,0.15825
0.924,0.15272
0.926,0.13298
0.928,0.10513
0.93,0.077167
0.932,0.056205
0.934,0.045294
0.936,0.043768
0.938,0.049894
0.94,0.061796
0.942,0.076405
0.944,0.08855
0.946,0.091607
0.948,0.079493
0.95,0.049023
0.952,0.0010115
0.954,-0.060632
0.956,-0.13084
0.958,-0.2054
0.96,-0.28131
0.962,-0.35502
0.964,-0.42077
0.966,-0.47159
0.968,-0.5026
0.97,-0.51233
0.972,-0.50016
0.974,-0.46471
0.976,-0.40677
0.978,-0.33211
0.98,-0.24951
0.982,-0.16645
0.984,-0.08733
0.986,-0.014838
0.988,0.048609
0.99,0.10118
0.992,0.1426
0.994,0.17415
0.996,0.19781
0.998,0.21579
1,0.23027
1.002,0.24311
1.004,0.25577
1.006,0.26909
1.008,0.28324
1.01,0.298
1.012,0.31289
1.014,0.32722
1.016,0.34013
1.018,0.35098
1.02,0.35967
1.022,0.36651
1.024,0.37157
1.026,0.37465
1.028,0.37573
1.03,0.3755
1.032,0.37557
1.034,0.37779
1.036,0.38324
1.038,0.39144
1.04,0.4004
1.042,0.40747
1.044,0.41003
1.046,0.40572
1.048,0.39265
1.05,0.36996
1.052,0.33851
1.054,0.30094
1.056,0.26018
1.058,0.21827
1.06,0.17709
1.062,0.13893
1.064,0.1053
1.066,0.07612
1.068,0.050762
1.07,0.028875
1.072,0.010216
1.074,-0.0056951
1.076,-0.019855
1.078,-0.034001
1.08,-0.050185
1.082,-0.069877
